yolo_latency,sam_latency,midas_latency,mediapipe_latency,total_latency,objetos_detectados,gesto,frame,video
328.7994861602783,583948.3301639557,296.4792251586914,213.00435066223145,584843.6210155487,4,,50,CookingInTheDay.mp4
250.06365776062012,565330.4753303528,234.26222801208496,84.39946174621582,565944.087266922,4,,100,CookingInTheDay.mp4
264.15038108825684,574407.2008132935,299.7462749481201,343.9202308654785,575362.820148468,4,CAPTURA,150,CookingInTheDay.mp4
